code,fund_sum
300323.XSHE,3.31939127
300327.XSHE,9.3784722868
300331.XSHE,0.39188626
300332.XSHE,0.63256427
300334.XSHE,0.007844
300339.XSHE,0.238911225
300343.XSHE,8.1843025464
300346.XSHE,0.04703293
300347.XSHE,393.19782936
300348.XSHE,3.7296904896
300355.XSHE,0.00724302
300357.XSHE,14.204947064
300358.XSHE,0.6246136
300363.XSHE,238.39710158220012
300365.XSHE,6.9917846400000006
300369.XSHE,5.54673366
300373.XSHE,0.5978646392
300374.XSHE,1.6066588961000001
300378.XSHE,1.024878229
300379.XSHE,4.5940569794
300382.XSHE,19.2350562112
300384.XSHE,0.18884304000000002
300390.XSHE,125.63596992069998
300394.XSHE,0.9563365946
300395.XSHE,25.663908092799996
300400.XSHE,0.717098
300401.XSHE,0.46860804
300406.XSHE,2.61199235
300408.XSHE,100.588930232
300409.XSHE,0.010621
300413.XSHE,87.2255258328
300416.XSHE,1.488297096
300418.XSHE,1.8782500094999999
300421.XSHE,2.7868415339999997
300432.XSHE,36.2346933276
300433.XSHE,21.194455965200003
300438.XSHE,0.08567815599999999
300440.XSHE,0.059398
300441.XSHE,0.9450000000000001
300443.XSHE,7.279885796600002
300450.XSHE,181.63118396360002
300451.XSHE,8.6388692865
300454.XSHE,125.65200886799995
300456.XSHE,0.054060000000000004
300457.XSHE,2.2400117352
300458.XSHE,4.426739075
300460.XSHE,0.8098885459999999
300463.XSHE,0.6252801610000001
300470.XSHE,4.8064917569
300473.XSHE,0.03866358
300474.XSHE,7.1404617888
300476.XSHE,22.727572860000002
300477.XSHE,0.6057618551999999
300480.XSHE,0.940652653
300481.XSHE,0.2885474768
300482.XSHE,10.839973200000001
300483.XSHE,0.45451899200000007
300487.XSHE,4.8662178892000005
300490.XSHE,1.8337301480000001
300492.XSHE,0.0982566
300496.XSHE,77.47103244229999
300497.XSHE,0.17726796
300498.XSHE,5.9010001369
300499.XSHE,0.00063
300502.XSHE,6.1078686396
300505.XSHE,0.6735598272
300506.XSHE,0.03545
300507.XSHE,0.0939888898
300508.XSHE,1.826230656
300512.XSHE,0.037247
300515.XSHE,0.038862
300523.XSHE,0.30751993899999996
300525.XSHE,3.2088661560000005
300527.XSHE,0.0615264
300529.XSHE,47.57023804799999
300545.XSHE,0.34926329759999997
300558.XSHE,44.0336581641
300566.XSHE,0.8955762420000001
300567.XSHE,7.5333615072
300568.XSHE,50.661227077
300569.XSHE,0.3729
300570.XSHE,0.07337988000000001
300571.XSHE,0.90750144
300572.XSHE,0.2105135604
300573.XSHE,10.121405262
300575.XSHE,4.0554642338
300577.XSHE,0.005698
300582.XSHE,0.1381181
300587.XSHE,19.470793420299998
300590.XSHE,0.0217513
300593.XSHE,14.095457550999999
300595.XSHE,82.84902889219998
300596.XSHE,0.36817704
300599.XSHE,0.07814232
300601.XSHE,48.316806276000015
300604.XSHE,26.55809328480001
300613.XSHE,28.6125609462
300614.XSHE,0.0040377237
300616.XSHE,1.6552815104
300617.XSHE,0.21317466000000002
300618.XSHE,0.2254496
300620.XSHE,1.283874196
300622.XSHE,0.01203906
300623.XSHE,0.17002725
300624.XSHE,1.8497593396
300626.XSHE,0.0230552
300627.XSHE,9.9707083893
300628.XSHE,50.582097125000004
300630.XSHE,16.463758675
300631.XSHE,1.018886305
300633.XSHE,2.54823813
300634.XSHE,1.4447470048000002
300636.XSHE,0.7860834
300638.XSHE,6.0678814742
300639.XSHE,0.6125153258000001
300642.XSHE,0.100024352
300648.XSHE,1.1949480000000001
300655.XSHE,7.759729152
300656.XSHE,0.044928
300657.XSHE,0.31458095
300659.XSHE,9.7684617276
300661.XSHE,229.19793000280004
300662.XSHE,13.3090102093
300671.XSHE,0.9940940768
300672.XSHE,0.2474132
300674.XSHE,5.9736058455
300676.XSHE,4.9004357357999995
300677.XSHE,12.1399687458
300679.XSHE,1.77023631
300680.XSHE,0.18433824000000001
300681.XSHE,1.3938966
300682.XSHE,4.8469363332
300685.XSHE,5.829707524
300687.XSHE,3.3003063642000003
300693.XSHE,0.90000369
300696.XSHE,7.234867824000001
300699.XSHE,8.3927044656
300702.XSHE,15.914625247999998
300705.XSHE,0.82014298
300706.XSHE,0.177942765
300718.XSHE,0.6381879
300724.XSHE,30.404918123600012
300725.XSHE,76.10326613120006
300726.XSHE,11.95133491
300730.XSHE,0.023996280000000002
300732.XSHE,0.022244617400000003
300733.XSHE,3.66488336
300735.XSHE,0.141763674
300737.XSHE,1.6114469219999998
300738.XSHE,0.014148840000000001
300740.XSHE,0.53882271
300741.XSHE,0.4751047026
300747.XSHE,39.2370967535
300748.XSHE,1.2979482625999998
300750.XSHE,1819.9357538009997
300751.XSHE,43.076996734400005
300755.XSHE,0.0074274200000000005
300759.XSHE,302.5689313998
300760.XSHE,547.1752833229999
300761.XSHE,0.404042512
300762.XSHE,4.051574756899999
300763.XSHE,22.40777462
300767.XSHE,41.176920431999996
300768.XSHE,0.3691424652
300769.XSHE,42.99492505
300770.XSHE,0.057096108
300772.XSHE,18.687823448000003
300773.XSHE,1.6295920055000002
300775.XSHE,22.987091982
300776.XSHE,17.807017542400004
300777.XSHE,24.41437038
300782.XSHE,115.12779216
300783.XSHE,0.07209776
300785.XSHE,0.00641155
300788.XSHE,0.3490758375
300789.XSHE,0.02737724
300790.XSHE,3.215822408
300792.XSHE,4.8353599444
300793.XSHE,0.023738179800000002
300795.XSHE,0.07225431
300799.XSHE,1.7128908048000002
300802.XSHE,0.829081134
300803.XSHE,0.04079804
300806.XSHE,8.945223031000001
300811.XSHE,5.2772869
300813.XSHE,0.82533568
300814.XSHE,0.00039879449999999996
300815.XSHE,4.024634739200001
300816.XSHE,2.7924734772
300820.XSHE,0.18433008
300821.XSHE,0.0535043
300825.XSHE,8.0408152729
300829.XSHE,1.4707351119999998
300832.XSHE,1.6192887348
300833.XSHE,0.4303213295
300839.XSHE,0.22419594
300841.XSHE,0.403260684
300842.XSHE,0.0467532
300850.XSHE,24.364308248000004
300854.XSHE,0.0020602544
300855.XSHE,1.3043229064
300857.XSHE,0.743598345
300861.XSHE,5.042967504000001
300866.XSHE,5.2247793753
300869.XSHE,0.18891264
300870.XSHE,5.5593596522
300871.XSHE,2.0657183079999997
